source,target,value
Austria,France,6
Austria,Russia,5
Germany,Russia,21
Austria,Germany,13
Germany,Italy,25
Germany,Spain,2
France,Poland,15
France,Germany,17
Germany,Poland,23
Estonia,Germany,5
Estonia,Latvia,6
Latvia,Lithuania,6
Finland,Lithuania,12
Finland,Germany,11
Denmark,Poland,5
Denmark,Norway,12
Denmark,Sweden,6
Germany,Sweden,6
Germany,Netherlands,5
Luxembourg,Netherlands,6
Belgium,Luxembourg,5
Belgium,France,6
France,Italy,5
Albania,Greece,12
Greece,Ukraine,2
Belarus,Ukraine,6
Belarus,Libya,2
Egypt,Libya,15
Egypt,Iraq,5
Germany,Japan,23
Japan,Russia,13
Germany,Morocco,1
Algeria,Morocco,6
Algeria,Italy,5
Japan,Thailand,6
Singapore,Thailand,6
Japan,Singapore,5
Japan,Philippines,11
Japan,Solomon Islands,9
India,Japan,12
France,Russia,6
France,India,6
India,Pakistan,13
Israel,Pakistan,6
Israel,South Africa,12
Israel,Libya,6
Iran,Libya,6
Germany,Iran,3
France,Japan,4
India,Papua New Guinea,3
Pakistan,Philippines,5
Laos,Philippines,5
Cambodia,Laos,6
Cambodia,Kenya,6
Ghana,Kenya,6
Ghana,Seychelles,5
Estonia,Lithuania,6
Finland,Romania,6
Albania,Romania,5
Albania,Bulgaria,6
Bulgaria,Poland,6
Poland,Romania,6
Hungary,Romania,6
Hungary,Mongolia,5
Cuba,Mongolia,6
Cuba,United States,4
Canada,United States,4
Australia,Canada,6
Australia,Vietnam,4
Cambodia,Vietnam,5
Cuba,Vietnam,5
Rwanda,South Africa,5
Germany,Norway,6
Greece,Italy,3
Italy,Japan,6
Romania,Russia,6
India,Singapore,5
